trial,class_prefix,csv_files,data_rows
Trial1,embb,2,14430
Trial1,mmtc,2,32719
Trial1,urll,2,20578
Trial2,embb,2,12844
Trial2,mmtc,2,11875
Trial2,urll,2,9073
Trial3,embb,2,8972
Trial3,mmtc,2,8698
Trial3,other,2,8888
Trial3,urll,2,4740
Trial4,embb,2,8056
Trial4,mmtc,2,8027
Trial4,null,2,10486
Trial4,other,2,8259
Trial4,urll,2,6897
Trial5,embb,2,14343
Trial5,mmtc,2,7730
Trial5,null,2,10162
Trial5,urll,2,11748
Trial6,embb,4,19642
Trial6,mmtc,4,24646
Trial6,other,13,145523
Trial6,urll,4,10711
Trial7,embb,11,36500
Trial7,mmtc,7,34971
Trial7,null,1,558
Trial7,other,1,3791
Trial7,urll,9,28063
